35000;Rennes;
29200;Brest;
29000;Quimper;
56100;Lorient;
56000;Vannes;
35400;Saint-Malo;
22000;Saint-Brieuc;
56600;Lanester;
22300;Lannion;
35300;Fougères;
29900;Concarneau;
56270;Ploemeur;
35500;Vitré;
35170;Bruz;
29600;Morlaix;
29800;Landerneau;
35510;Cesson-Sévigné;
56700;Brandérion;
29100;Douarnenez;
22190;Plérin;
56300;Pontivy;
29490;Guipavas;
29470;Plougastel-Daoulas;
56400;Ploemel;
22400;Lamballe;
29300;Quimperlé;
29280;Plouzané;
22440;Ploufragan;
22100;Dinan;
29480;Le Relecq-Kerhuon;
35800;Dinard;
35136;Saint-Jacques-de-la-Lande;
56890;Saint-Avé;
56520;Guidel;
35830;Betton;
35740;Pacé;
22600;Loudéac;
35135;Chantepie;
35600;Redon;
29400;Landivisiau;
29170;Fouesnant;
56800;Ploërmel;
56530;Quéven;
56860;Séné;
35760;Saint-Grégoire;
56260;Larmor-Plage;
29120;Pont-l'Abbé;
35770;Vern-sur-Seiche;
35150;Janzé;
29860;Plabennec;
22950;Trégueux;
29500;Ergué-Gabéric;
29160;Crozon;
56370;Sarzeau;
35650;Le Rheu;
29270;Carhaix-Plouguer;
22500;Paimpol;
29290;Saint-Renan;
22700;Perros-Guirec;
35580;Guichen;
29820;Guilers;
56230;Questembert;
35470;Bain-de-Bretagne;
56440;Languidic;
22200;Guingamp;
35131;Chartres-de-Bretagne;
29140;Rosporden;
35310;Mordelles;
22360;Langueux;
35235;Thorigné-Fouillard;
29260;Lesneven;
56330;Pluvigner;
29350;Moëlan-sur-Mer;
56850;Caudan;
29250;Saint-Pol-de-Léon;
29910;Trégunc;
35340;Liffré;
56450;Theix-Noyalo;
35410;Châteaugiron;
35160;Montfort-sur-Meu;
29880;Plouguerneau;
29830;Ploudalmézeau;
35230;Noyal-Châtillon-sur-Seiche;
56380;Guer;
35690;Acigné;
29850;Gouesnou;
35220;Châteaubourg;
22960;Plédran;
56650;Inzinzac-Lochrist;
56150;Baud;
35730;Pleurtuit;
22590;Pordic;
29720;Plonéour-Lanvern;
29760;Penmarch;
56880;Ploeren;
35270;Combourg;
35520;La Chapelle-des-Fougeretz;
29380;Bannalec;
35530;Noyal-sur-Vilaine;
56610;Arradon;
29510;Briec;
35120;Dol-de-Bretagne;
35260;Cancale;
56250;Elven;
29870;Lannilis;
29390;Scaër;
56240;Plouay;
29150;Châteaulin;
22970;Ploumagoar;
56670;Riantec;
56170;Quiberon;
56680;Plouhinec;
56390;Grand-Champ;
29280;Locmaria-Plouzané;
22120;Hillion;
29610;Plouigneau;
35360;Montauban-de-Bretagne;
22140;Bégard;
56190;Muzillac;
22580;Plouha;
35290;Saint-Méen-le-Grand;
35132;Vezin-le-Coquet;
35890;Laillé;
56340;Carnac;
35750;Iffendic;
56500;Locminé;
35130;La Guerche-de-Bretagne;
35370;Argentré-du-Plessis;
56570;Locmiquélic;
29780;Plouhinec;
56870;Baden;
29750;Loctudy;
29340;Riec-sur-Bélon;
29700;Plomelin;
56110;Gourin;
56130;Nivillac;
29360;Clohars-Carnoët;
22370;Pléneuf-Val-André;
22560;Pleumeur-Bodou;
35137;Bédée;